Unnamed: 0,Name,Team,Rush_Att,Rush_Yds,Rush_TD,Rush_1D,Rush_YBC,Rush_YBC/Att,Rush_YAC,Rush_YAC/Att,Rush_BrkTkl,Att/Br,Rush_Lng,Tgt,Rec,Rec_Yds,Rec_TD,Rec_Lng,FL,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
78.0,J.Hill,Baltimore Ravens,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,14,0,14,0,1.0,5,2.5,0,0.0,0,50.0,1027,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,53,49,13,1,Clear
79.0,D.Henry,Baltimore Ravens,11,73,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,1,1,4,0,4,0,2.0,73,6.6,0,0.0,0,51.0,1027,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,53,49,13,1,Clear
80.0,L.Jackson,Baltimore Ravens,8,46,0,2.0,46.0,5.8,0.0,0.0,0.0,0.0,22,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Cleveland Browns,0,Huntington Bank Field,outdoors,grass,53,49,13,1,Clear
81.0,J.Smith,Miami Dolphins,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,4,20,0,12,0,0.0,0,0.0,0,0.0,0,66.0,1027,Arizona Cardinals,1,Hard Rock,outdoors,grass,83,56,14,13,Partly Cloudy
82.0,J.Waddle,Miami Dolphins,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,4,45,0,20,0,0.0,0,0.0,0,0.0,0,86.0,1027,Arizona Cardinals,1,Hard Rock,outdoors,grass,83,56,14,13,Partly Cloudy
83.0,T.Hill,Miami Dolphins,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,6,72,0,30,0,0.0,0,0.0,0,0.0,0,88.0,1027,Arizona Cardinals,1,Hard Rock,outdoors,grass,83,56,14,13,Partly Cloudy
84.0,A.Ingold,Miami Dolphins,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,19,0,16,0,1.0,3,3.0,0,0.0,0,42.0,1027,Arizona Cardinals,1,Hard Rock,outdoors,grass,83,56,14,13,Partly Cloudy
85.0,R.Mostert,Miami Dolphins,9,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,1,11,0,11,0,3.0,19,2.1,0,0.0,0,46.0,1027,Arizona Cardinals,1,Hard Rock,outdoors,grass,83,56,14,13,Partly Cloudy
86.0,D.Achane,Miami Dolphins,10,97,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,8,6,50,1,16,0,2.0,97,9.7,0,0.0,0,58.0,1027,Arizona Cardinals,1,Hard Rock,outdoors,grass,83,56,14,13,Partly Cloudy
87.0,T.Tagovailoa,Miami Dolphins,3,13,0,1.0,13.0,4.3,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,100.0,1027,Arizona Cardinals,1,Hard Rock,outdoors,grass,83,56,14,13,Partly Cloudy
