,Name,Team,Tgt,Rec,Rec_Yds,Rec_TD,Rush_Att,Rush_Yds,Rush_TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Rush_Lng,Rec_Lng,FL,Pct,Date,Opponent,Hmcrt_adv,Stadium,Roof,Surface,Temperature,Humidity,Wind,Precipitation,Forecast
123,K.Gainwell,Philadelphia Eagles,1,1,5,0,3,4,0,0,4,1.3,0,0.0,0,0,4,5,0,23.0,1229,Dallas Cowboys,1,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
125,T.Davis-Price,Philadelphia Eagles,0,0,0,0,3,7,0,0,7,2.3,0,0.0,0,0,5,0,0,8.0,1229,Dallas Cowboys,1,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
127,S.Barkley,Philadelphia Eagles,2,2,2,0,31,167,0,9,167,5.4,0,0.0,0,0,23,7,0,75.0,1229,Dallas Cowboys,1,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
129,T.McKee,Philadelphia Eagles,0,0,0,0,2,-2,0,0,-2,-1.0,0,0.0,0,0,-1,0,0,32.0,1229,Dallas Cowboys,1,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
131,K.Pickett,Philadelphia Eagles,0,0,0,0,3,3,1,2,3,1.0,0,0.0,0,0,2,0,0,68.0,1229,Dallas Cowboys,1,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
133,H.Luepke,Dallas Cowboys,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
135,J.Mingo,Dallas Cowboys,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,48.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
137,B.Cooks,Dallas Cowboys,8,4,52,0,0,0,0,0,0,0,0,0,0,0,0,22,0,68.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
139,E.Elliott,Dallas Cowboys,0,0,0,0,3,2,0,0,2,0.7,0,0.0,0,0,5,0,0,16.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
141,K.Turpin,Dallas Cowboys,4,1,16,0,2,18,0,1,18,9.0,0,0.0,0,0,12,16,0,53.0,1229,Philadelphia Eagles,0,Lincoln Financial Field,outdoors,grass,64,87,14,13,Mostly Cloudy
